USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
13230,99999,BRINGELAND / FORDE,NO,,ENBL,61.393,5.764,327,19840502,20250824
13260,99999,MODALEN III,NO,,,60.85,5.983,125,20081008,20250824
13270,99999,KVAMSKOGEN-JONSHOGDI,NO,,,60.383,5.967,455,20061121,20250824
13290,99999,KVAMSOY,NO,,,60.35,6.267,50,20050218,20250824
13320,99999,FJAERLAND BREMUSEET,NO,,,61.43,6.77,3,20060201,20250824
13360,99999,BULKEN,NO,,,60.65,6.217,328,19730101,20250824
13370,99999,VOSSEVANGEN,NO,,,60.633,6.433,55,20050218,20250824
13380,99999,VANGSNES,NO,,,61.167,6.65,51,20040706,20250824
13400,99999,FET I EIDFJORD,NO,,,60.42,7.28,737,20050726,20250824
13420,99999,ULLENSVANG,NO,,,60.317,6.65,12,19730101,20250824
13440,99999,MJOLFJELL,NO,,,60.7,6.95,695,19730101,20250824
13450,99999,KLEVAVATNET,NO,,,60.717,7.217,960,19731007,20250824
13460,99999,MIDTSTOVA,NO,,,60.65,7.267,1162,20111125,20250814
13470,99999,SOGNDAL HAUKASEN,NO,,ENSG,61.156,7.137,511,19850118,20250824
13500,99999,FINSEVATN,NO,,,60.6,7.533,1208,20030330,20250824
13520,99999,SANDHAUG,NO,,,60.183,7.483,1250,20040107,20250824
13550,99999,LAERDAL IV,NO,,,61.1,7.5,5,19730101,20250824
13570,99999,HOLLEKOLTEN,NO,,,60.867,8.517,804.2,19730101,20250824
13580,99999,HEMSEDAL II,NO,,,60.85,8.6,604,20110929,20250818
13590,99999,GEILO-OLDEBRATEN,NO,,,60.533,8.2,773,19730101,20250824
13600,99999,BRATA-SLETTOM,NO,,,61.9,7.9,664,19730101,20250331
13610,99999,GROTLI III,NO,,,62.017,7.667,872,19730101,20250824
13620,99999,JUVVASSHOE,NO,,,61.667,8.367,1894,20090626,20250818
13640,99999,FILEFJELL,NO,,,61.183,8.117,955.1,19490101,20250824
13650,99999,BEITOSTOLEN II,NO,,,61.251,8.917,965,19730404,20250824
13660,99999,SOGNEFJELL,NO,,,61.567,8,1413,19790301,20250824
13670,99999,FAGERNES,NO,,,60.983,9.217,365.4,19821001,20250824
13680,99999,LEIRIN,NO,,ENFG,61.016,9.288,822,19881014,20250807
13700,99999,SKABU,NO,,,61.517,9.4,928,19730101,20250824
13710,99999,LOKEN I VOLBU,NO,,,61.117,9.067,521,19730101,20250824
13730,99999,NESBYEN-TODOKK,NO,,,60.567,9.133,166,19730101,20250824
13740,99999,VEST-TORPA II,NO,,,60.933,10.033,542,19810501,20250814
13750,99999,KVITFJELL,NO,,,61.467,10.133,1028,19730101,20250824
13755,99999,GULLFAX (PLATFORM),NO,,ENGC,61.033,2.033,10,19891115,20250824
13760,99999,GULSVIK II,NO,,,60.383,9.6,142,19730101,20250824
13780,99999,LILLEHAMMER-SAETHERENGEN,NO,,,61.1,10.467,239,19730101,20250824
13800,99999,VENABU,NO,,,61.65,10.117,930,19850110,20250824
13810,99999,APELSVOLL,NO,,,60.7,10.867,264,20111003,20250820
13820,99999,KISE,NO,,,60.767,10.8,128,19730101,20250824
13830,99999,EVENSTAD-DIH,NO,,,61.4,11.08,255,19730101,20250824
13840,99999,GARDERMOEN / OSLO,NO,,ENGM,60.194,11.1,207.6,19400511,20250824
13850,99999,HAMER,NO,,,60.817,11.067,222.3,20061024,20250824
13860,99999,HAMAR II,NO,,,60.8,11.1,132,20090701,20250824
13870,99999,FAVANG,NO,,,61.45,10.183,200,20110929,20250824
13890,99999,RENA AP,NO,,,61.183,11.367,255.7,19730101,20250824
13920,99999,FLISA II,NO,,,60.617,12.017,185,20050218,20250824
13930,99999,DREVSJO,NO,,,61.883,12.033,673.5,19730101,20250824
13970,99999,TRYSIL VEGSTASJON,NO,,,61.3,12.267,361.4,19730101,20240619
14000,99999,EKOFISK,NO,,,56.55,3.217,48.8,19981223,20200901
14030,99999,UTSIRA FYR,NO,,,59.3,4.867,56.3,19280102,20250824
14033,99999,EKOFISK OIL PLTFRM,NO,,ENEK,56.55,3.25,48.8,19810506,20250824
14060,99999,SLATTEROY FYR,NO,,,59.917,5.067,16,19730101,20250824
14080,99999,KARMOY,NO,,ENHD,59.345,5.208,26.2,19840909,20250824
14110,99999,KVITSOY - NORDBO,NO,,,59.067,5.417,22,20050612,20250824
14120,99999,OBRESTAD,NO,,,58.65,5.567,26,19730101,20250824
14130,99999,SAERHEIM,NO,,,58.75,5.65,87,20110928,20250824
14140,99999,ROVER,NO,,,59.433,5.067,25,19890520,20250824
14150,99999,SOLA / STAVANGER,NO,,ENZV,58.877,5.638,8.8,19400410,20250824
14160,99999,STAVANGER VAALAND,NO,,,58.95,5.733,72,20080724,20250824
14170,99999,NEDRE VATS,NO,,,59.483,5.75,65,19730103,20250824
14180,99999,AUSTEVOLL,NO,,,60.017,5.2,32,19730101,20250824
14190,99999,LIARVATN,NO,,,59.05,6.117,300,20100702,20250824
14220,99999,FISTER SIGMUNDSTAD,NO,,,59.167,6.033,25,20050101,20250824
14240,99999,SAUDA,NO,,,59.65,6.367,6,19730101,20250824
14250,99999,EIK HOVE,NO,,,58.517,6.517,66,19730101,20250824
14260,99999,EIGEROYA,NO,,,58.433,5.867,49,20040425,20250824
14270,99999,LISTA FYR,NO,,,58.117,6.567,14,19280101,20250824
14281,99999,ULA OIL PLATFORM,NO,,ENLA,59.111,2.846,94,20130806,20250824
14300,99999,MANDAL II,NO,,,58.017,7.45,138,19730101,20250824
14310,99999,SIRDAL-SINNES,NO,,,58.933,6.917,557,20070806,20250824
14340,99999,VAAGSLI,NO,,,59.767,7.367,822,20040406,20250820
14350,99999,HAUKELISETER TESTFELT,NO,,,59.817,7.217,989.5,19850111,20250824
14360,99999,LINDESNES FYR,NO,,,57.983,7.05,13,19730101,20250824
14390,99999,KONSMO-HOYLAND,NO,,,58.25,7.442,260,19730101,20250824
14400,99999,BLASJO,NO,,,59.333,6.867,1104.6,19730101,20250824
14410,99999,HOVDEN-LUNDANE,NO,,,59.583,7.383,836,19830101,20250824
14420,99999,BYGLANDSFJORD,NO,,,58.667,7.8,211,19730101,20250824
14440,99999,VALLE,NO,,,59.2,7.517,302,20110926,20250824
14470,99999,HOYDALSMO II,NO,,,59.5,8.2,562,20061121,20250824
14480,99999,OKSOY FYR,NO,,,58.067,8.05,8,19490101,20250824
14490,99999,GJERSTAD,NO,,,58.867,9.033,32,20120105,20250824
14500,99999,MOSSTRAND II,NO,,,59.833,8.183,977,19730101,20250824
14520,99999,KJEVIK,NO,,ENCN,58.204,8.085,17.4,19400501,20250824
14530,99999,HYNNEKLEIV,NO,,,58.6,8.417,162,20120105,20250824
14550,99999,TVEITSUND,NO,,,59.033,8.517,252,19730101,20250824
14590,99999,NELAUG,NO,,,58.65,8.633,142,19730101,20250824
14600,99999,GULLHOLMEN,NO,,,59.433,10.583,14,20121102,20250824
14611,99999,GAUSTATOPPEN,NO,,,59.85,8.65,1803.7,20140605,20250824
14620,99999,PORSGRUNN,NO,,,59.083,9.667,90,20130729,20250824
14630,99999,AS,NO,,,59.65,10.767,89,20110929,20250819
14640,99999,LANDVIK,NO,,,58.333,8.517,6,20110928,20250824
14650,99999,TORUNGEN FYR,NO,,,58.4,8.783,15,19730101,20250824
14660,99999,KJELLER AP,NO,,,59.967,11.033,109,20110928,20250807
14670,99999,LYNGOR FYR,NO,,,58.633,9.15,5,19730101,20250824
14680,99999,KONGSVINGER,NO,,,60.183,12,148,20061003,20250824
14690,99999,HONEFOSS-HOYBY,NO,,,60.167,10.25,140,20050719,20250824
14700,99999,GVARV,NO,,,59.383,9.2,93,19730101,20250824
14703,99999,NOTODDEN,NO,,ENNO,59.566,9.212,19.2,19901019,20250824
14710,99999,VEGGLI II,NO,,,60.05,9.15,275,20061003,20250824
14730,99999,KONGSBERG BRANNSTASJON,NO,,,59.617,9.633,173,20040510,20250824
14760,99999,JOMFRULAND FYR,NO,,,58.85,9.55,5,19730101,20250824
14770,99999,KONNERUD,NO,,,59.717,10.15,193,19730101,20250824
14780,99999,SVENNER LH,NO,,,58.967,10.15,15,19730101,20250824
14800,99999,DRAMMEN BERSKOG,NO,,,59.75,10.133,8,20050218,20250824
14810,99999,MELSOM,NO,,,59.233,10.35,26,19740519,20250824
14820,99999,FERDER LH,NO,,,59.033,10.517,7.7,19310101,20250824
14825,99999,TORP,NO,,ENTO,59.187,10.259,87.2,20050101,20250824
14830,99999,TORP,NO,,,59.183,10.267,88,19730101,20250824
14840,99999,AURSKOG,NO,,,59.917,11.583,128,19730101,20250824
14843,99999,OSEBERG,NO,,ENOA,59.317,10.45,15,19901019,20250824
14850,99999,DANDE-GALLEBERG,NO,,,59.617,10.217,60,20110928,20250824
14860,99999,ASKER,NO,,,59.85,10.433,163,20040510,20250824
14880,99999,HAKADAL,NO,,,60.117,10.833,170,19400407,20250824
14881,99999,STATFJORD B OIL PLATFORM,NO,,ENFB,61.206,1.829,142,20101123,20250824
14890,99999,BJORNHOLT,NO,,,60.05,10.683,360,20110928,20250818
14900,99999,TRYVANNSHOGDA,NO,,,59.983,10.683,528,19730101,20250824
14920,99999,OSLO-BLINDERN,NO,,,59.95,10.717,97,19730803,20250824
14930,99999,SARPSBORG,NO,,,59.283,11.117,57,20040510,20250824
14940,99999,RYGGE,NO,,ENRY,59.379,10.786,53,19730101,20250824
14950,99999,STROMTANGEN FYR,NO,,,59.15,10.833,10,20040406,20250824
20001,99999,LJUNGBYHED,SE,,ESTL,56.083,13.213,42.7,20040510,20250824
20130,99999,RITSEM,SE,,,67.733,17.467,542.7,20010601,20250824
20190,99999,KATTERJAKK A,SE,,,68.417,18.167,516,20081027,20250824
20220,99999,ABISKO,SE,,,68.354,18.816,392.3,20011107,20250625
20240,99999,STORA SJOFALLET,SE,,,67.5,18.3,425,20010601,20250803
20280,99999,TARFALA - SOL,SE,,,67.917,18.6,1144,20210628,20230905
20290,99999,TARFALA,SE,,,67.917,18.6,1146,20010601,20250507
20310,99999,RENSJON,SE,,,68.067,19.833,493,20010601,20241112
20360,99999,NIKKALUOKTA,SE,,,67.85,19.033,468,19770701,20241009
20380,99999,LATNIVAARA,SE,,,67.25,20.267,453,20010601,20241009
20440,99999,KIRUNA,SE,,ESNQ,67.822,20.337,459.6,19770701,20250824
20450,99999,KIRUNA-SOL,SE,,,67.833,20.417,424,19950401,20250817
20490,99999,GALLIVARE,SE,,ESNG,67.132,20.815,313,19790803,20250824
20550,99999,NAIMAKKA,SE,,,68.683,21.533,402,19730101,20250805
20640,99999,SAITTAROVA,SE,,,67.333,22.233,240,19730101,20250816
20710,99999,NORRKOPING-SOL,SE,,,58.583,16.15,58,19550101,20230905
20720,99999,PARKALOMPOLO,SE,,,67.733,22.833,313,20010601,20250808
20810,99999,KARESUANDO,SE,,,68.45,22.45,330,19550101,20250824
20910,99999,VISBY-SOL,SE,,,57.667,18.35,49,19730101,20250817
20950,99999,PAJALA,SE,,,67.2,23.383,171,19550101,20250820
21010,99999,HEMAVAN TARNABY,SE,,ESUT,65.806,15.083,458.1,19730102,20250824
21020,99999,STEKENJOKK,SE,,,65.1,14.517,1036,19581101,20250618
21030,99999,HEMAVAN-GIEREVARTO,SE,,,65.783,15.067,793,19871118,20241210
21100,99999,GIELAS,SE,,,65.333,15.067,577,19870518,20250718
21190,99999,KVIKKJOKK ARRENJARKA,SE,,,66.883,18.017,320,19730101,20250818
21205,99999,STORUMAN,SE,,,64.95,17.7,279,20050419,20250822
21210,99999,MIERKENIS,SE,,,66.683,16.117,615,20010601,20250817
21240,99999,ARJEPLOG,SE,,,66.05,17.833,432,19770405,20250815
21260,99999,GUNNARN,SE,,,65.017,17.7,251,19730101,20230314
21350,99999,BURESJON,SE,,,65.567,17.867,393,19730101,20230905
21410,99999,TJAKAAPE,SE,,,66.317,19.217,582,19730101,20250618
21470,99999,MALA-BRANNAN,SE,,,65.15,18.6,363,19730101,20241009
21490,99999,ARVIDSJAUR,SE,,,65.6,19.267,384,20010701,20230905
21510,99999,JOKKMOKK FPL,SE,,,66.483,20.167,275,19730101,20250817
21540,99999,VIDSEL,SE,,ESPE,65.875,20.15,182,19770701,20250824
21610,99999,NATTAVAARA,SE,,,66.75,20.933,327,19730101,20241009
21710,99999,BODEN,SE,,,65.817,21.633,18,19790802,20250616
21730,99999,ALVSBYN,SE,,,65.667,21.067,43,20010701,20241116
21740,99999,LAKATRASK,SE,,,66.283,21.133,186,20010701,20250817
21760,99999,PITE-RONNSKAR,SE,,,65.033,21.567,4,19970901,20250725
21810,99999,OVERKALIX SVARTBYN,SE,,,66.267,22.85,62,19960801,20250817
21830,99999,LULEA-SOL,SE,,,65.55,22.117,32,20040802,20230905
21840,99999,PAHAROVA,SE,,,66.817,22.333,229,20010701,20250205
21850,99999,LULEA-KALLAX,SE,,,65.55,22.133,34,20010402,20241009
21860,99999,KALLAX / LULEA,SE,,ESPA,65.544,22.122,19.8,19770701,20250824
21880,99999,RODKALLEN,SE,,,65.317,22.383,2,19730101,20250817
21910,99999,STORON,SE,,,65.7,23.1,4,20010701,20250724
21970,99999,HAPARANDA,SE,,,65.817,24.117,16,20081027,20250806
21990,99999,YLINENJARVI,SE,,,66.617,23.467,132,20010701,20250729
22050,99999,STORLIEN SOL,SE,,,63.3,12.117,647,20210628,20250817
22070,99999,STORLIEN-VISJOVALEN A,SE,,,63.283,12.117,583,19730101,20250727
22090,99999,SYLARNA,SE,,,63.05,12.283,1030,19730101,20250819
